title,location,link
"Jameson Irish Whiskey 20cl₦ 6,5063%",Unknown,/jameson-irish-whiskey-20cl-96806606.html
"Ace Elec 14.1'' Intel(R)Pentium(R) CPU N3700 16GB+128GB - Silver₦ 220,442",Unknown,/ace-elec-14.1-intelrpentiumr-cpu-n3700-16gb128gb-silver-369784891.html
"itel TWS BudsAce Earbuds Earpods Buds Ace ENC Super Bass 35 Hours₦ 12,80049%",Unknown,/itel-tws-budsace-earbuds-earpods-buds-ace-enc-super-bass-35-hours-359981008.html
"Nexus 43 Inch Smart Frameless LED TV( NX-TV43F621B)₦ 286,7501%",Unknown,/nexus-43-inch-smart-frameless-led-tv-nx-tv43f621b-103055855.html
"NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3)₦ 10,81017%",Unknown,/doshakara-pack-nourishing-cocoa-body-lotion-400mlpack-of-3-nivea-mpg1657642.html
"ECOFLOW 512Wh 500W Portable Solar Generator River 2 Max, Home Use₦ 1,118,400",Unknown,/ecoflow-512wh-500w-portable-solar-generator-river-2-max-home-use-284246036.html
"Realme NOTE 50-6.72"",4/128GB,13MP,Android 13,5000mAh-Midnight Black₦ 128,20020%",Unknown,/realme-note-50-6.724128gb13mpandroid-135000mah-midnight-black-388773948.html
"Royal 1HP Split Basic Air Conditioner (MA09RSAS-R410)₦ 281,5001%",Unknown,/royal-1hp-split-basic-air-conditioner-ma09rsas-r410-265580713.html
"Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard₦ 710,000",Unknown,/hp-stream-11-laptop-intel-celeron-64gb-ssd-4gb-ram-windows-10-pro-mouse-usb-light-for-keyboard-319828265.html
"Maltina Pineapple Can 33cl x24₦ 14,3096%",Unknown,/maltina-pineapple-can-33cl-x24-53438577.html
"Dr Teal's Dr. Teal's Shea Butter Bath & Body Oil₦ 9,3407%",Unknown,/dr-teals-dr.-teals-shea-butter-bath-body-oil-325477603.html
